TypeOfDewelling,BldgType,AbvGrndLivArea,Neighborhood,KitchenQual,NumGarageCars,YearBuilt,YearRemodAdd,ExterQual,LotArea,LotShape,Fireplaces,NumBathroom,Basement1Type,Basement1SurfaceArea,Basement2Type,Basement2SurfaceArea,TotalBasementArea,GarageArea,1stFlrArea,2ndFlrArea,Utilities,OverallQual,SalePrice
1-STORY 1946 & NEWER ALL STYLES,OneFam,938,CollgCr,Average,1,1975,1980,Average,9200,SlightlyIrregular,0,1,LowQuality,280,BelowAverageLivingQuarters,491,938,308,938,0,AllUtilitiesAvl,5,130250
1-STORY 1946 & NEWER ALL STYLES,OneFam,1150,NAmes,Average,1,1959,1959,Average,7945,Regular,0,1,AverageLivingQuarters,179,BelowAverageLivingQuarters,506,1150,300,1150,0,AllUtilitiesAvl,5,141000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1752,NridgHt,Excellent,2,2005,2005,Excellent,7658,Regular,1,2,GoodLivingQuarters,456,Unfinshed,0,1752,576,1752,0,AllUtilitiesAvl,9,319900
1-1/2 STORY FINISHED ALL AGES,OneFam,2149,Mitchel,Good,2,2003,2003,Good,12822,SlightlyIrregular,1,1,GoodLivingQuarters,1351,Unfinshed,0,1434,670,1518,631,AllUtilitiesAvl,7,239686
1-STORY 1946 & NEWER ALL STYLES,OneFam,1656,Somerst,Good,3,2006,2006,Good,11096,Regular,0,2,GoodLivingQuarters,24,Unfinshed,0,1656,826,1656,0,AllUtilitiesAvl,8,249700
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1452,OldTown,Average,0,1920,2008,Average,4456,Regular,0,2,Unfinshed,0,Unfinshed,0,736,0,736,716,AllUtilitiesAvl,4,113000
1-STORY 1946 & NEWER ALL STYLES,OneFam,955,Sawyer,Average,1,1966,1966,Average,7742,Regular,0,1,BelowAverageLivingQuarters,763,Unfinshed,0,955,386,955,0,AllUtilitiesAvl,5,127000
2-STORY 1946 & NEWER,OneFam,1470,Gilbert,Average,2,1997,1997,Average,13869,ModeratelyIrregular,0,2,GoodLivingQuarters,182,Unfinshed,0,794,388,794,676,AllUtilitiesAvl,6,177000
1-1/2 STORY FINISHED ALL AGES,OneFam,1176,BrkSide,Average,2,1934,1950,Average,6240,Regular,1,1,Unfinshed,0,Unfinshed,0,816,528,816,0,AllUtilitiesAvl,6,114500
DUPLEX - ALL STYLES AND AGES,Duplex,816,IDOTRR,Average,2,1963,1963,Fair,8472,ModeratelyIrregular,0,1,LowQuality,104,GoodLivingQuarters,712,816,516,816,0,AllUtilitiesAvl,5,110000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1842,Veenker,Good,3,1981,1987,Good,50271,SlightlyIrregular,1,0,GoodLivingQuarters,1810,Unfinshed,0,1842,894,1842,0,AllUtilitiesAvl,9,385000
SPLIT OR MULTI-LEVEL,OneFam,1360,NAmes,Average,2,1955,1955,Average,7134,Regular,1,1,AverageLivingQuarters,384,Unfinshed,0,384,572,1360,0,AllUtilitiesAvl,5,130000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1425,NAmes,Average,2,1964,1964,Average,10175,SlightlyIrregular,1,2,BelowAverageLivingQuarters,490,Unfinshed,0,1425,576,1425,0,AllUtilitiesAvl,6,180500
2-STORY PUD - 1946 & NEWER,Twnhs,1739,Somerst,Good,2,1999,2000,Good,2645,Regular,0,2,GoodLivingQuarters,649,Unfinshed,0,970,480,983,756,AllUtilitiesAvl,8,172500
2-STORY 1946 & NEWER,OneFam,1720,CollgCr,Good,2,2004,2004,Good,11645,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,860,565,860,860,AllUtilitiesAvl,7,196500
2-STORY 1946 & NEWER,OneFam,2945,StoneBr,Good,3,2006,2006,Excellent,13682,ModeratelyIrregular,1,3,Unfinshed,0,Unfinshed,0,1410,641,1426,1519,AllUtilitiesAvl,10,438780
1-STORY 1946 & NEWER ALL STYLES,OneFam,780,CollgCr,Average,1,1972,1972,Average,7200,Regular,0,1,AverageLivingQuarters,632,Unfinshed,0,780,352,780,0,AllUtilitiesAvl,5,124900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1158,SawyerW,Good,2,2004,2004,Average,13072,Regular,0,1,AverageLivingQuarters,941,Unfinshed,0,1158,576,1158,0,AllUtilitiesAvl,6,158000
2-1/2 STORY ALL AGES,OneFam,1111,IDOTRR,Fair,1,1920,1996,Average,7200,Regular,0,1,Unfinshed,0,Unfinshed,0,530,288,581,530,AllUtilitiesAvl,5,101000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1370,NridgHt,Good,2,2006,2006,Good,6442,SlightlyIrregular,1,2,GoodLivingQuarters,24,Unfinshed,0,1370,484,1370,0,AllUtilitiesAvl,8,202500
2-STORY 1945 & OLDER,OneFam,1710,OldTown,Average,2,1921,1950,Average,10300,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,576,480,902,808,AllUtilitiesAvl,7,140000
2-STORY 1946 & NEWER,OneFam,2034,CollgCr,Good,2,1997,1998,Average,9375,Regular,0,2,GoodLivingQuarters,739,Unfinshed,0,1057,645,1057,977,AllUtilitiesAvl,7,219500
2-STORY 1946 & NEWER,OneFam,2473,NridgHt,Good,3,2004,2005,Good,9591,Regular,1,2,Unfinshed,0,Unfinshed,0,1143,852,1143,1330,AllUtilitiesAvl,8,317000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2207,NAmes,Average,2,1970,1989,Average,19900,Regular,1,2,GoodLivingQuarters,912,Unfinshed,0,1947,576,2207,0,AllUtilitiesAvl,7,180000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1479,CollgCr,Good,2,2003,2003,Good,10665,SlightlyIrregular,0,2,GoodLivingQuarters,1013,Unfinshed,0,1453,558,1479,0,AllUtilitiesAvl,7,226000
1-STORY 1945 & OLDER,OneFam,747,OldTown,Average,1,1945,1950,Average,4608,Regular,0,1,Unfinshed,0,Unfinshed,0,747,220,747,0,AllUtilitiesAvl,4,80000
1-1/2 STORY FINISHED ALL AGES,OneFam,2287,ClearCr,Average,2,1953,1953,Good,15593,Regular,1,2,BelowAverageLivingQuarters,603,Unfinshed,0,1304,667,1304,983,AllUtilitiesAvl,7,225000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2223,NAmes,Average,2,1973,1973,Average,13651,SlightlyIrregular,2,2,AverageLivingQuarters,1880,Unfinshed,0,2223,516,2223,0,AllUtilitiesAvl,7,244000
1-STORY 1946 & NEWER ALL STYLES,OneFam,845,Mitchel,Average,2,1982,2006,Average,7599,Regular,0,1,AverageLivingQuarters,565,Unfinshed,0,845,360,845,0,AllUtilitiesAvl,4,129500
2-STORY 1946 & NEWER,OneFam,1718,Gilbert,Average,2,1998,1998,Average,10141,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,832,427,885,833,AllUtilitiesAvl,7,185000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1086,NAmes,Average,2,1954,2003,Average,10200,Regular,0,1,AverageLivingQuarters,320,BelowAverageLivingQuarters,362,1086,490,1086,0,AllUtilitiesAvl,5,144900
1-1/2 STORY FINISHED ALL AGES,OneFam,1605,OldTown,Average,1,1915,1950,Good,5790,Regular,0,2,Unfinshed,0,Unfinshed,0,840,379,840,765,AllUtilitiesAvl,3,107400
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Twnhs,988,MeadowV,Average,1,1973,1973,Average,1596,Regular,0,1,GoodLivingQuarters,462,Unfinshed,0,462,297,526,462,AllUtilitiesAvl,4,91000
1-STORY 1946 & NEWER ALL STYLES,OneFam,952,NAmes,Average,1,1956,1956,Average,8475,SlightlyIrregular,0,1,AverageLivingQuarters,228,Unfinshed,0,952,283,952,0,AllUtilitiesAvl,4,135750
1-1/2 STORY FINISHED ALL AGES,OneFam,1285,BrkSide,Average,1,1948,2001,Average,8635,Regular,0,1,BelowAverageLivingQuarters,336,GoodLivingQuarters,41,672,240,1072,213,AllUtilitiesAvl,5,127000
DUPLEX - ALL STYLES AND AGES,Duplex,1768,Sawyer,Average,0,1968,1968,Average,10778,Regular,0,2,Unfinshed,0,Unfinshed,0,1768,0,1768,0,AllUtilitiesAvl,4,136500
1-1/2 STORY FINISHED ALL AGES,OneFam,1230,OldTown,Average,2,1910,1981,Average,10440,Regular,0,1,Unfinshed,0,Unfinshed,0,440,440,682,548,AllUtilitiesAvl,5,110000
2-STORY 1946 & NEWER,OneFam,2142,NAmes,Good,1,1968,1968,Average,13000,Regular,1,2,AverageRecRoom,448,Unfinshed,0,896,509,1182,960,AllUtilitiesAvl,6,193500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1337,Mitchel,Average,2,1998,1998,Average,4500,Regular,0,2,GoodLivingQuarters,1201,Unfinshed,0,1237,405,1337,0,AllUtilitiesAvl,6,153500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1563,Somerst,Good,3,2007,2007,Average,10206,Regular,1,2,GoodLivingQuarters,33,Unfinshed,0,1563,758,1563,0,AllUtilitiesAvl,8,245000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1065,NAmes,Average,2,1960,1960,Average,8892,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,1065,461,1065,0,AllUtilitiesAvl,5,126500
SPLIT OR MULTI-LEVEL,OneFam,1474,Gilbert,Average,2,1995,1996,Average,8530,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,384,400,804,670,AllUtilitiesAvl,7,168500
2-STORY 1946 & NEWER,OneFam,2417,NoRidge,Good,2,1991,1992,Good,16059,Regular,1,2,Unfinshed,0,Unfinshed,0,1288,462,1301,1116,AllUtilitiesAvl,8,260000
2-STORY 1946 & NEWER,OneFam,1560,Gilbert,Good,2,2005,2005,Good,11911,ModeratelyIrregular,1,2,Unfinshed,0,Unfinshed,0,684,400,684,876,AllUtilitiesAvl,6,174000
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1224,Somerst,Good,2,2009,2009,Good,3951,Regular,0,2,Unfinshed,0,Unfinshed,0,612,528,612,612,AllUtilitiesAvl,6,164500
1-1/2 STORY FINISHED ALL AGES,OneFam,1526,IDOTRR,Fair,0,1915,1982,Fair,8470,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,1013,0,1013,0,AllUtilitiesAvl,3,85000
1-STORY 1946 & NEWER ALL STYLES,OneFam,990,CollgCr,Average,0,1994,1995,Average,8070,Regular,0,1,GoodLivingQuarters,588,Unfinshed,0,990,0,990,0,AllUtilitiesAvl,4,123600
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,NAmes,Average,2,1950,1950,Average,7200,Regular,0,1,,0,,0,0,420,1040,0,AllUtilitiesAvl,4,109900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1235,NAmes,Average,2,1961,1961,Average,8500,Regular,0,1,AverageRecRoom,600,Unfinshed,0,1235,480,1235,0,AllUtilitiesAvl,5,98600
1-STORY 1945 & OLDER,OneFam,964,Crawfor,Average,2,1921,2006,Average,13360,SlightlyIrregular,0,1,AverageLivingQuarters,713,Unfinshed,0,876,432,964,0,AllUtilitiesAvl,5,163500
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,2291,OldTown,Average,2,1910,1998,Average,7200,Regular,1,2,AverageRecRoom,1046,Unfinshed,0,1214,506,1260,1031,AllUtilitiesAvl,6,133900
2-STORY 1946 & NEWER,OneFam,1786,CollgCr,Good,2,1997,1997,Average,9337,SlightlyIrregular,0,2,GoodLivingQuarters,648,Unfinshed,0,824,684,905,881,AllUtilitiesAvl,6,204750
2-STORY 1946 & NEWER,OneFam,1470,Gilbert,Average,2,1993,1993,Excellent,9765,ModeratelyIrregular,1,2,AverageLivingQuarters,310,Unfinshed,0,680,420,680,790,AllUtilitiesAvl,6,185000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1588,CollgCr,Good,2,1999,1999,Good,10264,SlightlyIrregular,0,2,AverageLivingQuarters,1162,Unfinshed,0,1588,472,1588,0,AllUtilitiesAvl,7,214000
1-STORY 1946 & NEWER ALL STYLES,OneFam,960,Edwards,Average,1,1965,1965,Average,10921,Regular,0,1,AverageRecRoom,520,Unfinshed,0,960,432,960,0,AllUtilitiesAvl,4,94750
1-STORY 1945 & OLDER,OneFam,835,Edwards,Average,1,1920,1950,Average,10625,Regular,0,1,AverageLivingQuarters,108,Unfinshed,0,458,366,835,0,AllUtilitiesAvl,5,83000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1225,NAmes,Average,0,1959,1959,Average,9320,SlightlyIrregular,0,1,AverageLivingQuarters,569,Unfinshed,0,950,0,1225,0,AllUtilitiesAvl,4,128950
1-STORY 1946 & NEWER ALL STYLES,OneFam,1610,NWAmes,Good,2,1977,2001,Average,10603,SlightlyIrregular,2,2,AverageLivingQuarters,1200,Unfinshed,0,1610,480,1610,0,AllUtilitiesAvl,6,205000
2-STORY 1946 & NEWER,OneFam,1732,SawyerW,Good,2,1985,1985,Good,9206,Regular,1,2,Unfinshed,0,Unfinshed,0,741,476,977,755,AllUtilitiesAvl,6,178000
DUPLEX - ALL STYLES AND AGES,Duplex,1535,SawyerW,Average,2,1979,1979,Average,7018,Regular,0,2,,0,,0,0,410,1535,0,AllUtilitiesAvl,5,118964
1-STORY 1946 & NEWER ALL STYLES,OneFam,1226,CollgCr,Good,3,2009,2009,Average,10402,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,1226,740,1226,0,AllUtilitiesAvl,7,198900
1-1/2 STORY FINISHED ALL AGES,OneFam,1818,IDOTRR,Average,1,1931,1950,Average,7758,Regular,2,1,LowQuality,224,Unfinshed,0,1040,240,1226,592,AllUtilitiesAvl,7,169500
2-STORY 1946 & NEWER,OneFam,1992,Somerst,Good,2,2003,2004,Good,9375,Regular,1,2,Unfinshed,0,Unfinshed,0,1053,648,1053,939,AllUtilitiesAvl,8,250000
1-STORY 1945 & OLDER,OneFam,1047,OldTown,Average,1,1885,1995,Average,10800,Regular,0,1,Unfinshed,0,Unfinshed,0,641,273,1047,0,AllUtilitiesAvl,4,100000
1-STORY 1946 & NEWER ALL STYLES,OneFam,789,OldTown,Average,1,1948,1950,Average,6000,Regular,0,1,AverageLivingQuarters,104,BelowAverageLivingQuarters,169,789,250,789,0,AllUtilitiesAvl,5,115000
1-1/2 STORY FINISHED ALL AGES,OneFam,1517,IDOTRR,Fair,0,1919,2005,Average,8500,Regular,0,2,Unfinshed,0,Unfinshed,0,793,0,997,520,AllUtilitiesAvl,5,115000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1844,NWAmes,Average,2,1977,1977,Average,11751,SlightlyIrregular,1,2,BelowAverageLivingQuarters,705,Unfinshed,0,1844,546,1844,0,AllUtilitiesAvl,6,190000
1-1/2 STORY FINISHED ALL AGES,OneFam,1855,Edwards,Average,1,1954,1972,Average,9525,Regular,0,2,AverageRecRoom,444,Unfinshed,0,994,325,1216,639,AllUtilitiesAvl,6,136900
SPLIT OR MULTI-LEVEL,OneFam,1430,Gilbert,Average,2,2000,2000,Average,7750,SlightlyIrregular,1,2,GoodLivingQuarters,250,Unfinshed,0,384,400,774,656,AllUtilitiesAvl,7,180000
2-STORY 1946 & NEWER,OneFam,2696,CollgCr,Excellent,3,2007,2007,Good,9965,Regular,1,2,GoodLivingQuarters,984,Unfinshed,0,1264,792,1282,1414,AllUtilitiesAvl,7,383970
1-STORY 1946 & NEWER ALL STYLES,OneFam,2259,Crawfor,Good,2,1953,1953,Average,21000,Regular,2,2,AverageLivingQuarters,35,AverageRecRoom,869,1809,450,2259,0,AllUtilitiesAvl,6,217000
2-STORY 1945 & OLDER,OneFam,2320,Crawfor,Good,1,1945,2002,Average,7259,SlightlyIrregular,1,2,AverageLivingQuarters,774,LowQuality,150,1028,180,1436,884,AllUtilitiesAvl,6,259500
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1458,Somerst,Average,2,1999,1999,Average,3230,Regular,1,2,GoodLivingQuarters,419,Unfinshed,0,729,440,729,729,AllUtilitiesAvl,6,176000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1092,Sawyer,Average,1,1962,1962,Average,11616,Regular,1,1,LowQuality,170,BelowAverageLivingQuarters,670,1092,288,1092,0,AllUtilitiesAvl,5,139000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1125,Edwards,Average,2,2006,2007,Average,8536,Regular,0,1,Unfinshed,0,Unfinshed,0,1125,430,1125,0,AllUtilitiesAvl,5,155000
2-STORY 1946 & NEWER,OneFam,3222,SawyerW,Good,3,1990,1990,Average,12376,Regular,2,3,GoodLivingQuarters,1470,Unfinshed,0,1673,594,1699,1523,AllUtilitiesAvl,7,320000
2-STORY 1946 & NEWER,OneFam,1456,CollgCr,Good,2,2005,2006,Good,8461,Regular,1,2,Unfinshed,0,Unfinshed,0,728,390,728,728,AllUtilitiesAvl,6,163990
SPLIT OR MULTI-LEVEL,OneFam,988,ClearCr,Average,2,1969,1969,Average,21453,SlightlyIrregular,2,1,AverageLivingQuarters,938,Unfinshed,0,938,540,988,0,AllUtilitiesAvl,6,180000
1-1/2 STORY FINISHED ALL AGES,OneFam,1123,IDOTRR,Average,1,1939,1950,Average,6060,Regular,0,1,Unfinshed,0,Unfinshed,0,732,264,772,351,AllUtilitiesAvl,4,100000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1080,NAmes,Average,1,1958,1958,Average,9464,Regular,0,1,BelowAverageLivingQuarters,570,Unfinshed,0,1080,288,1080,0,AllUtilitiesAvl,6,136000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1199,SawyerW,Good,2,1993,1993,Good,7892,Regular,0,2,GoodLivingQuarters,300,Unfinshed,0,1199,530,1199,0,AllUtilitiesAvl,6,153900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1586,NWAmes,Average,2,1979,1998,Average,17043,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1362,435,1586,0,AllUtilitiesAvl,6,181000
